timeframe,name,change in price,port,product,std from avg
20d,61%麦克粉品牌价格：黄骅港（日）,72.0,Huanghua,61%麦克粉,1.399320633211282
25d,61%麦克粉品牌价格：黄骅港（日）,129.0,Huanghua,61%麦克粉,1.5389442336292158
30d,61%麦克粉品牌价格：黄骅港（日）,166.0,Huanghua,61%麦克粉,1.55100225471352
40d,61%麦克粉品牌价格：黄骅港（日）,185.0,Huanghua,61%麦克粉,1.700447730054535
50d,61%麦克粉品牌价格：黄骅港（日）,186.0,Huanghua,61%麦克粉,1.8389858829369916
60d,61%麦克粉品牌价格：黄骅港（日）,232.0,Huanghua,61%麦克粉,1.9735244198302901
5d,62%罗伊山块品牌价格：黄骅港（日）,13.0,Huanghua,62%罗伊山块,0.14285714285714285
10d,62%罗伊山块品牌价格：黄骅港（日）,47.0,Huanghua,62%罗伊山块,0.9479787228347971
15d,62%罗伊山块品牌价格：黄骅港（日）,70.0,Huanghua,62%罗伊山块,1.2247663128157955
20d,62%罗伊山块品牌价格：黄骅港（日）,48.0,Huanghua,62%罗伊山块,1.512858380613561
25d,62%罗伊山块品牌价格：黄骅港（日）,102.0,Huanghua,62%罗伊山块,1.612998994690125
30d,62%罗伊山块品牌价格：黄骅港（日）,135.0,Huanghua,62%罗伊山块,1.5589147437045037
40d,62%罗伊山块品牌价格：黄骅港（日）,147.0,Huanghua,62%罗伊山块,1.68474479887305
50d,62%罗伊山块品牌价格：黄骅港（日）,157.0,Huanghua,62%罗伊山块,1.8050261115022508
60d,62%罗伊山块品牌价格：黄骅港（日）,207.0,Huanghua,62%罗伊山块,1.8751204171949882
5d,61%罗伊山粉品牌价格：黄骅港（日）,2.0,Huanghua,61%罗伊山粉,-0.3779644730092272
10d,61%罗伊山粉品牌价格：黄骅港（日）,60.0,Huanghua,61%罗伊山粉,0.8430650658613863
15d,61%罗伊山粉品牌价格：黄骅港（日）,79.0,Huanghua,61%罗伊山粉,1.1427756281599692
20d,61%罗伊山粉品牌价格：黄骅港（日）,70.0,Huanghua,61%罗伊山粉,1.4396403765888064
25d,61%罗伊山粉品牌价格：黄骅港（日）,130.0,Huanghua,61%罗伊山粉,1.52903840643181
30d,61%罗伊山粉品牌价格：黄骅港（日）,165.0,Huanghua,61%罗伊山粉,1.5215186781051935
40d,61%罗伊山粉品牌价格：黄骅港（日）,175.0,Huanghua,61%罗伊山粉,1.6824072263770207
50d,61%罗伊山粉品牌价格：黄骅港（日）,164.0,Huanghua,61%罗伊山粉,1.8526542139488094
60d,61%罗伊山粉品牌价格：黄骅港（日）,209.0,Huanghua,61%罗伊山粉,2.02303807805593
5d,57%印度粉矿品牌价格：黄骅港（日）,11.0,Huanghua,57%印度粉矿,0.34835084987227377
10d,57%印度粉矿品牌价格：黄骅港（日）,63.0,Huanghua,57%印度粉矿,0.9467464580110025
15d,57%印度粉矿品牌价格：黄骅港（日）,83.0,Huanghua,57%印度粉矿,1.2486686258177027
20d,57%印度粉矿品牌价格：黄骅港（日）,70.0,Huanghua,57%印度粉矿,1.549885231169296
25d,57%印度粉矿品牌价格：黄骅港（日）,105.0,Huanghua,57%印度粉矿,1.72699142197113
30d,57%印度粉矿品牌价格：黄骅港（日）,125.0,Huanghua,57%印度粉矿,1.7952927016634044
40d,57%印度粉矿品牌价格：黄骅港（日）,138.0,Huanghua,57%印度粉矿,1.9681369222446854
